respondent_id,question,response
311,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
311,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
311,Please tick the companies where you feel you are a customer/user of their services today.,First Hotels
311,Please tick the companies where you feel you are a customer/user of their services today.,GoodMorning Hotels
311,Please tick the companies where you feel you are a customer/user of their services today.,Norlandia
311,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
313,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
313,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
313,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
313,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
314,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
314,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
317,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
317,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
318,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
318,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
321,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
321,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
323,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
323,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
323,Please tick the companies where you feel you are a customer/user of their services today.,First Hotels
