respondent_id,interest
424,computer games
424,online games etc)
424,Cookery
424,Music and theatre
424,Travelling abroad
424,Series on TV or online
426,Cars and lorries
427,Films
427,Outdoor recreation
427,Gaming (e-sports
427,computer games
427,online games etc)
427,Construction & carpentry
427,Sustainability & environment
427,Local news
427,New technologies & digitalisation
429,Films
429,Outdoor recreation
429,Health & wellness
429,Interior design
429,Arts & Crafts
429,Cookery
429,Fashion and clothing
429,Music and theatre
429,Series on TV or online
429,Shopping
429,Theatre
429,dance & other performing arts
430,Fitness & training
430,Outdoor recreation
430,New technologies & digitalisation
431,Cookery
431,Music and theatre
431,Travelling abroad
433,Economy & business
433,Outdoor recreation
433,Construction & carpentry
433,Sustainability & environment
433,Health & wellness
433,Interior design
433,Arts & Crafts
433,Local news
433,Cookery
433,Fashion and clothing
433,Music and theatre
433,Natural sciences
433,New technologies & digitalisation
433,Politics
433,Travelling abroad
433,Series on TV or online
433,Shopping
433,Sports news
433,Practising a sport
433,Plants
433,growing & gardening
434,Books/literature
434,Economy & business
434,Films
434,Sustainability & environment
434,Health & wellness
434,Music and theatre
434,New technologies & digitalisation
434,Entertainment & celebrities
434,Travelling abroad
434,Series on TV or online
434,Theatre
434,dance & other performing arts
438,Economy & business
439,Fashion and clothing
439,Travelling abroad
440,Books/literature
440,Economy & business
440,Films
440,Fitness & training
440,Outdoor recreation
440,Arts & Crafts
440,Natural sciences
440,Politics
440,Travelling abroad
440,Foreign news & foreign policy
443,Sustainability & environment
443,Hunting or fishing
443,Local news
443,Music and theatre
443,Natural sciences
443,Foreign news & foreign policy
446,Books/literature
446,Cookery
446,Music and theatre
446,Travelling abroad
446,Theatre
446,dance & other performing arts
446,Plants
446,growing & gardening
448,Books/literature
448,Economy & business
448,Outdoor recreation
448,Sustainability & environment
448,Cookery
448,Natural sciences
448,New technologies & digitalisation
448,Sports news
449,Cars and lorries
449,Books/literature
449,Films
449,Music and theatre
449,Politics
449,Travelling abroad
449,Foreign news & foreign policy
451,Books/literature
451,Health & wellness
451,Arts & Crafts
451,Music and theatre
451,Politics
451,Foreign news & foreign policy
452,Films
452,Fitness & training
452,Health & wellness
452,Arts & Crafts
452,Local news
452,Fashion and clothing
452,Entertainment & celebrities
452,Series on TV or online
452,Shopping
455,Films
455,Sustainability & environment
455,Health & wellness
455,Series on TV or online
456,Films
456,Music and theatre
456,Entertainment & celebrities
456,Plants
456,growing & gardening
457,Films
457,Health & wellness
457,Arts & Crafts
457,Music and theatre
457,Theatre
457,dance & other performing arts
458,Outdoor recreation
458,Health & wellness
458,Music and theatre
460,Economy & business
460,Outdoor recreation
460,Sustainability & environment
460,Health & wellness
460,Hunting or fishing
460,Local news
460,Travelling abroad
460,Foreign news & foreign policy
461,Books/literature
461,Films
461,Fitness & training
461,Outdoor recreation
461,Sustainability & environment
461,Health & wellness
462,Fitness & training
462,Health & wellness
462,Interior design
462,Cookery
462,Fashion and clothing
462,Travelling abroad
462,Shopping
462,Beauty news
462,Plants
462,growing & gardening
463,Books/literature
463,Films
463,Outdoor recreation
463,Gaming (e-sports
463,computer games
463,online games etc)
463,Hunting or fishing
463,Local news
463,Cookery
463,Music and theatre
463,Travelling abroad
463,Series on TV or online
463,Sports news
467,Cars and lorries
467,Economy & business
467,Films
467,Health & wellness
467,Cookery
467,Music and theatre
467,Series on TV or online
467,Sports news
467,Theatre
467,dance & other performing arts
